condition,provider,model_version,temperature,metric,value
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,total_runs,72
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,in_scope_runs,24
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,out_of_scope_runs,24
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,indirect_injection_runs,24
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,ocr,0.0
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,ucr,0.041666666666666664
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,injection_exposure_rate,1.0
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,exposed_indirect_injection_runs,24
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,iis,0.0
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,principal_admin_runs,10
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,principal_analyst_runs,33
authz_policy,openai,gpt-4.1-mini-2025-04-14,0.0,principal_editor_runs,29
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,total_runs,72
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,in_scope_runs,24
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,out_of_scope_runs,24
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,indirect_injection_runs,24
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,ocr,0.0
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,ucr,0.041666666666666664
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,injection_exposure_rate,1.0
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,exposed_indirect_injection_runs,24
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,iis,0.0
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,principal_admin_runs,10
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,principal_analyst_runs,33
authz_policy_with_injection_guard,openai,gpt-4.1-mini-2025-04-14,0.0,principal_editor_runs,29
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,total_runs,72
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,in_scope_runs,24
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,out_of_scope_runs,24
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,indirect_injection_runs,24
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,ocr,0.4166666666666667
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,ucr,0.041666666666666664
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,injection_exposure_rate,1.0
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,exposed_indirect_injection_runs,24
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,iis,0.041666666666666664
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,principal_admin_runs,10
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,principal_analyst_runs,33
context_only,openai,gpt-4.1-mini-2025-04-14,0.0,principal_editor_runs,29
